Date,Open,High,Low,Close,Adj Close,Volume
2022-03-02,1.333333,1.337095,1.327404,1.333511,1.333511,0
2022-03-03,1.339728,1.341796,1.332037,1.339692,1.339692,0
2022-03-04,1.335131,1.335131,1.320533,1.335096,1.335096,0
2022-03-07,1.321248,1.322594,1.310393,1.321248,1.321248,0
2022-03-08,1.311407,1.314285,1.308370,1.311230,1.311230,0
2022-03-09,1.310255,1.318235,1.309929,1.309929,1.309929,0
2022-03-10,1.318844,1.319470,1.310736,1.318565,1.318565,0
2022-03-11,1.310307,1.312491,1.305244,1.310324,1.310324,0
2022-03-14,1.304955,1.307873,1.301050,1.305030,1.305030,0
2022-03-15,1.301084,1.308866,1.300136,1.301185,1.301185,0
2022-03-16,1.304500,1.311441,1.303662,1.304649,1.304649,0
2022-03-17,1.314078,1.321109,1.308952,1.314112,1.314112,0
2022-03-18,1.316049,1.318166,1.311200,1.316041,1.316041,0
2022-03-21,1.316067,1.320987,1.312836,1.316084,1.316084,0
2022-03-22,1.316794,1.327246,1.312095,1.316829,1.316829,0
2022-03-23,1.326964,1.329893,1.317627,1.326647,1.326647,0
2022-03-24,1.320655,1.321475,1.315789,1.320603,1.320603,0
2022-03-25,1.319592,1.322559,1.316170,1.319575,1.319575,0
2022-03-28,1.317697,1.317888,1.306865,1.317627,1.317627,0
2022-03-29,1.309998,1.315928,1.305227,1.310358,1.310358,0
2022-03-30,1.309295,1.318061,1.309158,1.309380,1.309380,0
2022-03-31,1.313681,1.317089,1.310960,1.313888,1.313888,0
2022-04-01,1.314579,1.314613,1.308866,1.314700,1.314700,0
2022-04-04,1.310513,1.313629,1.309518,1.310376,1.310376,0
2022-04-05,1.311303,1.316690,1.310049,1.311458,1.311458,0
2022-04-06,1.307634,1.310685,1.304665,1.307737,1.307737,0
2022-04-07,1.307172,1.310668,1.305500,1.307207,1.307207,0
2022-04-08,1.306865,1.307873,1.298482,1.306933,1.306933,0
2022-04-11,1.302948,1.305756,1.298988,1.303220,1.303220,0
2022-04-12,1.302355,1.305364,1.299697,1.302423,1.302423,0
2022-04-13,1.300349,1.307155,1.297438,1.300255,1.300255,0
2022-04-14,1.312215,1.314752,1.303815,1.312026,1.312026,0
2022-04-15,1.306165,1.307668,1.305279,1.307002,1.307002,0
2022-04-18,1.305773,1.305773,1.300796,1.305756,1.305756,0
2022-04-19,1.300762,1.303985,1.298330,1.300982,1.300982,0
2022-04-20,1.301575,1.306677,1.299798,1.301372,1.301372,0
2022-04-21,1.306814,1.308832,1.302423,1.306882,1.306882,0
2022-04-22,1.302406,1.303373,1.284076,1.302626,1.302626,0
2022-04-25,1.282907,1.282972,1.269906,1.283088,1.283088,0
2022-04-26,1.273723,1.277237,1.261304,1.273999,1.273999,0
2022-04-27,1.258447,1.260081,1.250391,1.258400,1.258400,0
2022-04-28,1.253966,1.256676,1.241403,1.254186,1.254186,0
2022-04-29,1.246805,1.258352,1.246727,1.246385,1.246385,0
2022-05-02,1.257379,1.259636,1.250531,1.257387,1.257387,0
2022-05-03,1.250109,1.256644,1.249380,1.249828,1.249828,0
2022-05-04,1.249938,1.253761,1.246743,1.250041,1.250041,0
2022-05-05,1.261893,1.263169,1.232757,1.261814,1.261814,0
2022-05-06,1.236644,1.238022,1.227770,1.236415,1.236415,0
2022-05-09,1.232894,1.240495,1.226212,1.232666,1.232666,0
2022-05-10,1.233487,1.237471,1.229377,1.233882,1.233882,0
2022-05-11,1.230754,1.239803,1.228199,1.230921,1.230921,0
2022-05-12,1.223466,1.224815,1.217137,1.223421,1.223421,0
2022-05-13,1.220435,1.224515,1.215717,1.220614,1.220614,0
2022-05-16,1.226151,1.229725,1.221896,1.225851,1.225851,0
2022-05-17,1.232711,1.249812,1.232210,1.232483,1.232483,0
2022-05-18,1.249048,1.250062,1.237425,1.248439,1.248439,0
2022-05-19,1.234766,1.252270,1.234065,1.234583,1.234583,0
2022-05-20,1.246556,1.249875,1.243967,1.246215,1.246215,0
2022-05-23,1.250688,1.260112,1.250125,1.250406,1.250406,0
2022-05-24,1.256771,1.259684,1.247272,1.256755,1.256755,0
2022-05-25,1.254154,1.255792,1.248424,1.254296,1.254296,0
2022-05-26,1.258701,1.262116,1.255304,1.258610,1.258610,0
2022-05-27,1.261862,1.266624,1.258717,1.261734,1.261734,0
2022-05-30,1.262515,1.266031,1.261766,1.262834,1.262834,0
2022-05-31,1.264526,1.264846,1.256250,1.264702,1.264702,0
2022-06-01,1.260970,1.261686,1.246013,1.260891,1.260891,0
2022-06-02,1.248424,1.256960,1.247038,1.248315,1.248315,0
2022-06-03,1.257782,1.259002,1.249453,1.257925,1.257925,0
2022-06-06,1.248829,1.257703,1.247988,1.249230,1.249230,0
2022-06-07,1.252317,1.259446,1.243441,1.252348,1.252348,0
2022-06-08,1.258606,1.258986,1.251502,1.258732,1.258732,0
2022-06-09,1.254217,1.255398,1.249297,1.254029,1.254029,0
2022-06-10,1.249375,1.251815,1.231557,1.249297,1.249297,0
2022-06-13,1.227807,1.230012,1.212768,1.227491,1.227491,0
2022-06-14,1.214403,1.220271,1.199256,1.214477,1.214477,0
2022-06-15,1.201345,1.212533,1.199213,1.201259,1.201259,0
2022-06-16,1.218145,1.234492,1.205037,1.217434,1.217434,0
2022-06-17,1.235025,1.235025,1.217404,1.235483,1.235483,0
2022-06-20,1.222823,1.227777,1.220063,1.222823,1.222823,0
2022-06-21,1.225010,1.231922,1.224920,1.225175,1.225175,0
2022-06-22,1.226407,1.231467,1.216856,1.226663,1.226663,0
2022-06-23,1.225325,1.229468,1.217182,1.225085,1.225085,0
2022-06-24,1.226196,1.231679,1.224350,1.226076,1.226076,0
2022-06-27,1.228803,1.233076,1.223975,1.228245,1.228245,0
2022-06-28,1.226753,1.229105,1.218769,1.226738,1.226738,0
2022-06-29,1.218635,1.221225,1.210683,1.218977,1.218977,0
2022-06-30,1.213106,1.218621,1.209438,1.213180,1.213180,0
2022-07-01,1.215998,1.216205,1.198064,1.216086,1.216086,0
2022-07-04,1.210580,1.216515,1.208634,1.210273,1.210273,0
2022-07-05,1.211402,1.212606,1.190051,1.211446,1.211446,0
2022-07-06,1.194957,1.198638,1.187761,1.194914,1.194914,0
2022-07-07,1.191895,1.202183,1.191001,1.192321,1.192321,0
2022-07-08,1.203196,1.205531,1.192194,1.202805,1.202805,0
2022-07-11,1.201779,1.201995,1.186944,1.201663,1.201663,0
2022-07-12,1.189994,1.191214,1.181126,1.190094,1.190094,0
2022-07-13,1.188269,1.195943,1.183530,1.187775,1.187775,0
2022-07-14,1.186197,1.188411,1.176318,1.186380,1.186380,0
2022-07-15,1.183866,1.187366,1.180596,1.183964,1.183964,0
2022-07-18,1.188792,1.203022,1.187550,1.188834,1.188834,0
2022-07-19,1.195072,1.204282,1.192933,1.194829,1.194829,0
2022-07-20,1.200423,1.203659,1.195829,1.200351,1.200351,0
2022-07-21,1.196616,1.200235,1.189301,1.197175,1.197175,0
2022-07-22,1.199688,1.206418,1.192023,1.199616,1.199616,0
2022-07-25,1.198423,1.208313,1.196215,1.198696,1.198696,0
2022-07-26,1.205764,1.209219,1.196544,1.205516,1.205516,0
2022-07-27,1.203818,1.208664,1.202227,1.203688,1.203688,0
2022-07-28,1.216663,1.219051,1.210449,1.216308,1.216308,0
2022-07-29,1.217849,1.224155,1.213828,1.216737,1.216737,0
